id,type,category,title,description,locationName,municipality,road,timestamp,endTime,severity,source,lng,lat
traffic-GUID50460770,roadwork,roadwork,"Tie 66, Lapua. Tietyö. ",Ajokaistoja on kavennettu,"Tie 66 välillä Virrat - Lapua, Lapua.
Tarkempi paikka: Paikasta Houru 5,1 km, vaikutusalue 100 m, suuntaan Kustaa Tiitun tien kiertoliittymä.",,,2026-02-03T22:00:00.000Z,2026-02-04T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Turku,25,65
traffic-GUID50460769,traffic,accident,"Tie 12, Lahti. Ensitiedote liikenneonnettomuudesta. ",Onnettomuus,"Tie 12 välillä Lahti - Kouvola, Lahti.
Tarkempi paikka: Välillä Nastola tien liittymä - Uusikylän liittymä.",,,2026-02-04T17:45:00.000Z,2026-02-04T18:15:58.053Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460768,traffic,disruption,"Tie 192, Kustavi. Liikennetiedote. ",Lauttaliikenne keskeytetään huoltotyön ajaksi,"Tie 192 välillä Raisio - Kustavi, Kustavi.
Tarkempi paikka: Vartsalan lautta.",,,2026-02-04T16:42:00.000Z,2026-02-04T18:42:00.000Z,low,Fintraffic Tieliikennekeskus Turku,21.336319,60.542603
traffic-GUID50460753,traffic,disruption,"Tie 1552, Porvoo. Liikennetiedote. ",Lautan kantavuus on muuttunut,"Tie 1552 välillä Porvoo - Pellinki, Porvoo.
Tarkempi paikka: Pellingin lossi.",,,2026-02-04T11:05:00.000Z,,low,Fintraffic Tieliikennekeskus Helsinki,25.897567,60.247159
traffic-GUID50460748,roadwork,roadwork,"Tie 357, Kotka. Tietyö. ",Ajokaistoja on kavennettu,"Tie 357 välillä Karhula - Anjala, Kotka.
Tarkempi paikka: Välillä Tapiontie - Peippola.",,,2026-02-04T10:30:00.000Z,2026-02-11T16:00:00.000Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460744,roadwork,roadwork,"Tie 563, Iisalmi. Tietyö. ","Paikalla tilapäinen liikennevalo-ohjaus, Nopeusrajoitus, Liikenne ohjataan vuorotellen tapahtumapaikan ohi, Liikenne pysäytetään ajoittain, Ajokaista suljettu liikenteeltä","Tie 563 välillä Pielavesi - Peltosalmi, Iisalmi.
Tarkempi paikka: Paikasta Itikkasalmi 1,8 km, vaikutusalue 400 m, suuntaan Ohenmäen tienhaara.",,,2026-02-08T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460739,roadwork,roadwork,"Tie 724, Mustasaari. Tietyö. ",Ajokaistoja on kavennettu,"Tie 724 välillä Vaasan keskusta - Raippaluoto, Mustasaari.
Tarkempi paikka: Välillä Raippaluodon sillan länsipää - Raippaluodon sillan itäpää.",,,2026-02-03T22:00:00.000Z,2026-02-04T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460737,roadwork,roadwork,"Tie 387, Lappeenranta. Tietyö. ",Ajokaistoja on kavennettu,"Tie 387 välillä Lappeenranta - Vaalimaa, Lappeenranta.
Tarkempi paikka: Välillä Säämälä - Hyttilä.",,,2026-02-03T22:00:00.000Z,2026-02-04T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460718,roadwork,roadwork,"Tie 926, Tervola. Tietyö. ","Nopeusrajoitus, Liikenne ohjataan vuorotellen tapahtumapaikan ohi","Tie 926 välillä Kemi - Rovaniemi, Tervola.
Tarkempi paikka: Paikasta Tervolan kirkonkylä 300 m, vaikutusalue 9,6 km, suuntaan Runkausjoen silta.",,,2026-02-02T22:00:00.000Z,2026-02-13T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
traffic-GUID50460716,roadwork,roadwork,"Tie 87, Iisalmi. Tietyö. ",Nopeusrajoitus,"Tie 87 välillä Iisalmi - Nurmes, Iisalmi.
Tarkempi paikka: Paikasta Iisalmi 2,3 km, vaikutusalue 100 m, suuntaan Matalalahti.",,,2026-02-08T22:00:00.000Z,2026-02-26T21:59:59.999Z,low,Fintraffic Tieliikennekeskus Tampere,25,65
